Old Spice | NFL | Deliverables Doc,,,,,,,,,,
ISCIs + Deliverables,,,,,,,,,,
Date Document Updated:,8/12/25,Uploaded/ Passed QC,SHIPPED,,,,,,,
Total Deliverables: ,106,In Progress,,,,,,,,
WK Production Job #: ,OLDPNAMV1033,Changed/New,,,,,,,,
,,, ,,,,,,,
,,,,,,,,,,
BROADCAST NTSC Masters: (16:9),,,,,,,,,,
Channel,Ship Date:,Live Date:,ISCIs + Titles,,MIX,Notes:,End Date:,End Card Details:,SPECS / SLATE INFO:,DELIVER TO:
BROADCAST MIX NTSC,7/14,8/1,PGOC5405000H,NFL_Smell Like a Footballman_DEO_NA_TV_HD_30,BROADCAST,,,n/a,NTSC 23.98 FPS,Tylie
,7/14,8/1,PGOC5406000H,NFL_Smell Like a Footballman_DEO_CAPS_NA_TV_HD_30,BROADCAST,Burned-In Subtitles,,,Apple ProRes - QT,
,7/14,8/1,PGOC5407000H,NFL_Smell Like a Footballman_DEO_NA_OTT_HD_30,BROADCAST,,,,1920x1080,
,7/14,8/1,PGOC5408000H,NFL_Smell Like a Footballman_DEO_NA_TV_Generic_HD_30,BROADCAST,,,,NO SIZE RESTRICTION,
,,,,,,,,,,
,7/14,8/1,PGOC5409000H,NFL_Look Down Coaching_DEO_NA_TV_HD_15,BROADCAST,,,,,
,7/14,8/1,PGOC5410000H,NFL_Look Down Coaching_DEO_CAPS_NA_TV_HD_15,BROADCAST,Burned-In Subtitles,,,,
,7/14,8/1,PGOC5411000H,NFL_Look Down Coaching_DEO_NA_OTT_HD_15,BROADCAST,,,,,
,7/14,8/1,PGOC5412000H,NFL_Look Down Coaching_DEO_NA_TV_Generic_HD_15,BROADCAST,,,,,
,,,,,,,,,,
,7/14,8/1,PGOC5413000H,NFL_Product Training_DEO_NA_TV_HD_15,BROADCAST,,,,,
,7/14,8/1,PGOC5414000H,NFL_Product Training_DEO_CAPS_NA_TV_HD_15,BROADCAST,Burned-In Subtitles,,,,
,7/14,8/1,PGOC5415000H,NFL_Product Training_DEO_NA_OTT_HD_15,BROADCAST,,,,,
,7/14,8/1,PGOC5416000H,NFL_Product Training_DEO_NA_TV_Generic_HD_15,BROADCAST,,,,,
,,,,,,,,,,
,7/18,8/1,PGOC5628000H,NFL_Smell Like a Footballman REV1_DEO_NA_TV_HD_30,BROADCAST,,,,,
,7/18,8/1,PGOC5629000H,NFL_Smell Like a Footballman REV1_DEO_CAPS_NA_TV_HD_30,BROADCAST,Burned-In Subtitles,,,,
,7/18,8/1,PGOC5630000H,NFL_Smell Like a Footballman REV1_DEO_NA_OTT_HD_30,BROADCAST,,,,,
,7/18,8/1,PGOC5631000H,NFL_Smell Like a Footballman REV1_DEO_NA_TV_Generic_HD_30,BROADCAST,,,,,
,,,,,,,,,,
,10/24,TBD,PGOC5674000H,NFL_Space_DEO_NA_TV_HD_15,BROADCAST,,,,,
,10/24,TBD,PGOC5675000H,NFL_Space_DEO_CAPS_NA_TV_HD_15,BROADCAST,Burned-In Subtitles,,,,
,10/24,TBD,PGOC5676000H,NFL_Space_DEO_NA_OTT_HD_15,BROADCAST,,,,,
,10/24,TBD,PGOC5677000H,NFL_Space_DEO_NA_TV_Generic_HD_15,BROADCAST,,,,,
,,,,,,,,,,
,10/24,TBD,PGOC5697000H,NFL_BigManTackles_DEO_NA_TV_HD_15,BROADCAST,,,,,
,10/24,TBD,PGOD9623000H,NFL_BigManTackles_DEO_CAPS_NA_TV_HD_15,BROADCAST,Burned-In Subtitles,,,,
,10/24,TBD,PGOC5698000H,NFL_BigManTackles_DEO_NA_OTT_HD_15,BROADCAST,,,,,
,10/24,TBD,PGOC5699000H,NFL_BigManTackles_DEO_NA_TV_Generic_HD_15,BROADCAST,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Cinema NTSC ProRes (16:9) :,,,,,,,,,,
Channel,Ship Date:,Live Date:,ISCIs + Titles,,,Notes:,End Date:,End Card Details:,SPECS / SLATE INFO:,DELIVER TO:
5.1 Mix,7/11,8/1,PGOC5417000H,NFL_Look Down Coaching_DEO_NA_Cinema_HD_15,CINEMA,Killed,,,NTSC 23.98 FPS,Tylie
,7/11,8/1,PGOC5418000H,NFL_Look Down Coaching_DEO_NA_Cinema_Generic_HD_15,CINEMA,,,,Apple ProRes - QT,
,,,,,,,,,1920x1080,
,7/11,8/1,PGOC5419000H,NFL_Product Training_DEO_NA_Cinema_HD_15,CINEMA,Killed,,,NO SIZE RESTRICTION,
,7/11,8/1,PGOC5420000H,NFL_Product Training_DEO_NA_Cinema_Generic_HD_15,CINEMA,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
