Nike || CAA - MLB Playoffs || *WIP* Deliverables Document ,,,,,,,
ISCIs + Deliverables,,,,,,,
Date Document Updated:,10/7/25,SHIPPED,Reship,,,,
Total Deliverables: ,28,NEW UPDATE,,,,,
Job Number: ,NUSPBASV0431,Deliverable Removed,,,,,
,,,,,,,
Broadcast NTSC 1920x1080: (BROADCAST MIX),,,,,,,
Channel,Ship Date:,ISCIs,Titles,UPLOADED TO ER,End Card,SPECS / SLATE INFO:,DELIVER TO:
Broadcast Mix,10/6,YNQB2154000H,Nike CAA MLB 16x9 NTSC 30 HD Titled,TRUE,N/a,NTSC 23.98fr,Extreme Reach 
,10/6,ZWAK1364410H,Nike CAA MLB 16x9 NTSC 30 HD Generic,TRUE,clean,Apple ProRes - QT,
,,, ,,,1920x1080,
,10/7,YNQB2155000H,Nike CAA MLB 16x9 NTSC 60 HD Titled,TRUE,N/a,NO SIZE RESTRICTION,
,10/7,"ZWAK1364632H
",Nike CAA MLB 16x9 NTSC 60 HD Generic,TRUE,clean,,
,,,,,,,
,10/6,YNQB2158000H,Nike CAA MLB 16x9 NTSC 30 HD Titled REV1,TRUE,N/a,,
,10/6,ZWAK1364718H,Nike CAA MLB 16x9 NTSC 30 HD Generic REV1,TRUE,clean,,
,,,,,,,
,,,,,,,
DIGITAL Masters 1920x1080: (WEB MIX),,,,,,,
Channel,Ship Date:,ISCIs,Titles,UPLOADED TO ER,End Card,SPECS / SLATE INFO:,DELIVER TO:
WEB MIX,10/7,NKVR4272000H,Nike CAA MLB 16x9 WEB 60 HD Titled,TRUE,N/a,NTSC 23.98fr,Extreme Reach 
,10/7,ZWAK1364609H,Nike CAA MLB 16x9 WEB 60 HD Generic,TRUE,clean,Apple ProRes - QT,
,,,,,,1920x1080,
,,,,,,NO SIZE RESTRICTION,
,10/6,NKVR4273000H,Nike CAA MLB 16x9 WEB 30 HD Titled,TRUE,N/a,,
,10/6,ZWAK1364411H,Nike CAA MLB 16x9 WEB 30 HD Generic,TRUE,clean,,
,,,,,,,
,10/9,ZWAK1364748H,Nike CAA MLB Mariners Stadium Bespoke 16x9 WEB 60 HD Titled,FALSE,N/a,direct handoff - upload to ER later for archiving,
,10/9,ZWAK1364749H,Nike CAA MLB Mariners Stadium Bespoke 16x9 WEB 60 HD Generic,FALSE,clean,,
,,,,,,,
,,,,,,,
DIGITAL Masters 1080x1080: (WEB MIX),,,,,,,
Channel,Ship Date:,ISCIs,Titles,UPLOADED TO ER,End Card,SPECS / SLATE INFO:,DELIVER TO:
WEB MIX,10/6,ZWAK1364412H,Nike CAA MLB 1x1 WEB 30 HD Titled,TRUE,N/a,NTSC 23.98fr,Extreme Reach 
,10/6,ZWAK1364414H,Nike CAA MLB 1x1 WEB 30 HD Generic,TRUE,clean,Apple ProRes - QT,
,,,,,,1080x1080,
,10/9,ZWAK1364734H,Nike CAA MLB 1x1 WEB 60 HD Titled,FALSE,N/a,NO SIZE RESTRICTION,
,10/9,ZWAK1364735H,Nike CAA MLB 1x1 WEB 60 HD Generic,FALSE,clean,,
,,,,,,,
DIGITAL Masters 1080x1350: (WEB MIX),,,,,,,
Channel,Ship Date:,ISCIs,Titles,UPLOADED TO ER,End Card,SPECS / SLATE INFO:,DELIVER TO:
WEB MIX,10/6,ZWAK1364415H,Nike CAA MLB 4x5 WEB 30 HD Titled,FALSE,N/a,NTSC 23.98fr,Extreme Reach 
,10/6,ZWAK1364416H,Nike CAA MLB 4x5 WEB 30 HD Subtitled,FALSE,N/a,Apple ProRes - QT,
,10/6,ZWAK1364417H,Nike CAA MLB 4x5 WEB 30 HD Generic,FALSE,clean,1080x1350,
,,,,,,NO SIZE RESTRICTION,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
DIGITAL Masters 1080x1920: (WEB MIX),,,,,,,
Channel,Ship Date:,ISCIs,Titles,UPLOADED TO ER,End Card,SPECS / SLATE INFO:,DELIVER TO:
WEB MIX,10/7,ZWAK1364610H,Nike CAA MLB 9x16 WEB 60 HD Titled,TRUE,N/a,NTSC 23.98fr,Extreme Reach 
,10/7,ZWAK1364612H,Nike CAA MLB 9x16 WEB 60 HD TikTok Titled,TRUE,N/a,Apple ProRes - QT,
,10/7,ZWAK1364613H,Nike CAA MLB 9x16 WEB 60 HD Generic,TRUE,clean,1080x1920,
,,,,,,NO SIZE RESTRICTION,
,,,,,,,
,10/6,ZWAK1364418H,Nike CAA MLB 9x16 WEB 30 HD Titled,TRUE,N/a,,
,10/6,ZWAK1364420H,Nike CAA MLB 9x16 WEB 30 HD TikTok Titled,TRUE,N/a,,
,10/6,ZWAK1364421H,Nike CAA MLB 9x16 WEB 30 HD Generic,TRUE,clean,,
,,,,,,,
,,,,,,,
,,,"TikTok Center Cut Safe: No text/important visual elements in 330px safe zone from bottom (Up to 378px depending on copy used)
More info and vector image on TikTok Spec tab",,,,
,,,,,,,
DIGITAL Masters 750x1000: (WEB MIX),,,,,,,
Channel,Ship Date:,ISCIs + Titles,,UPLOADED TO ER,End Card,SPECS / SLATE INFO:,DELIVER TO:
